fid,id,row_index,col_index,n,distance_river,distance_waterhole,area,density
"1","6134","85","54","0","12.129","15.606",28.2948910037175,0
"2","6244","83","55","0","0.272","2.784",0.0360902305788994,0
"3","6245","84","55","0","3.986","8.863",65.4346210342331,0
"4","6246","85","55","0","7.821","12.035",69.6013290814282,0
"5","6247","86","55","0","1.13","7.426",4.88899452754641,0
"6","6247","86","55","0","6.251","7.426",4.88899452754641,0
"7","6356","83","56","0","2.799","9.717",5.823590460495,0
"8","6357","84","56","0","1.931","7.031",79.5435662458038,0
"9","6358","85","56","1","0.494","4.806",86.6025403784485,0.012
"10","6359","86","56","1","1.767","12.264",85.652819435837,0.012
"11","6360","87","56","0","2.282","11.144",55.6719958053293,0
"12","6361","88","56","0","1.272","12.848",11.6501872086704,0
"13","6467","82","57","0","3.141","3.458",19.4456338268738,0
"14","6468","83","57","0","0.68","9.713",86.4145005104122,0
"15","6469","84","57","1","7.778","3.879",86.6025403784428,0.012
"16","6470","85","57","1","6.936","7.45",86.6025403784428,0.012
"17","6471","86","57","2","0.908","12.622",86.6025403784409,0.023
"18","6472","87","57","0","7.255","10.528",86.602540378437,0
"19","6473","88","57","0","3.882","15.564",73.4976921743511,0
"20","6474","89","57","1","1.779","19.713",33.5576431950104,0.03
"21","6475","90","57","0","0.841","18.581",6.65203156187904,0
"22","6579","82","58","0","3.277","6.839",35.5911978260288,0
"23","6580","83","58","0","3.178","4.054",86.6025403784485,0
"24","6581","84","58","1","3.472","7.239",86.6025403784466,0.012
"25","6582","85","58","0","11.107","11.329",86.6025403784351,0
"26","6583","86","58","3","1.675","4.774",86.6025403784504,0.035
"27","6584","87","58","0","6.846","2.873",86.6025403784332,0
"28","6585","88","58","0","13.014","7.736",86.6025403784447,0
"29","6586","89","58","0","8.92","12.447",86.6025403784409,0
"30","6587","90","58","1","4.915","14.65",86.0865895696608,0.012
"31","6588","91","58","0","3.689","12.444",77.1483896448523,0
"32","6589","92","58","0","0.207","4.263",27.6370798935601,0
"33","6589","92","58","0","1.308","4.263",27.6370798935601,0
"34","6590","93","58","0","4.481","7.87",27.6786890466161,0
"35","6591","94","58","0","4.195","11.77",11.5430525289048,0
"36","6592","95","58","0","1.631","12.329",5.29506282295066,0
"37","6690","81","59","0","12.194","15.645",39.1542013072433,0
"38","6691","82","59","0","6.529","11.779",86.6025403784523,0
"39","6692","83","59","1","0.106","3.31",86.6025403784409,0.012
"40","6693","84","59","0","9.775","6.543",86.6025403784447,0
"41","6694","85","59","1","4.192","7.059",86.6025403784523,0.012
"42","6695","86","59","1","4.199","5.748",86.6025403784523,0.012
"43","6696","87","59","0","13.802","7.572",86.6025403784485,0
"44","6697","88","59","0","18.703","2.549",86.6025403784447,0
"45","6698","89","59","2","14.779","5.973",86.6025403784485,0.023
"46","6699","90","59","0","12.735","9.931",86.6025403784409,0
"47","6700","91","59","2","7.921","7.725",86.6025403784447,0.023
"48","6701","92","59","3","0.726","1.947",83.9627463473587,0.036
"49","6702","93","59","2","1.381","11.675",86.6025403784485,0.023
"50","6703","94","59","4","4.022","15.338",86.2547042165724,0.046
"51","6704","95","59","1","4.464","18.812",78.9504268907354,0.013
"52","6705","96","59","1","6.362","14.419",38.7068262929896,0.026
"53","6802","81","60","0","17.561","21.44",0.0172014957742691,0
"54","6803","82","60","0","15.976","18.017",86.0464325489693,0
"55","6804","83","60","0","6.561","9.246",86.6025403784428,0
"56","6805","84","60","0","2.815","3.205",86.6025403784409,0
"57","6806","85","60","0","9.313","8.332",86.602540378437,0
"58","6807","86","60","3","0.187","3.138",86.602540378437,0.035
"59","6808","87","60","0","9.525","8.261",86.6025403784428,0
"60","6809","88","60","0","19.505","7.63",86.6025403784389,0
"61","6810","89","60","1","24.688","7.479",86.6025403784428,0.012
"62","6811","90","60","0","21.512","4.338",86.6025403784409,0
"63","6812","91","60","0","15.747","13.485",86.6025403784409,0
"64","6813","92","60","0","6.175","5.662",86.602540378437,0
"65","6814","93","60","0","1.683","5.607",86.6025403784332,0
