,NBN.Atlas.record.ID,Occurrence.ID,Licence,Rightsholder,Scientific.name,Taxon.author,Name.qualifier,Common.name,Species.ID..TVK.,Taxon.Rank,Occurrence.status,Start.date,Start.date.day,Start.date.month,Start.date.year,End.date,End.date.day,End.date.month,End.date.year,Locality,OSGR,Latitude,Longitude,Coordinate.uncertainty..m.,Verbatim.depth,Recorder,Determiner,Individual.count,Abundance,Abundance.scale,Organism.scope,Organism.remarks,Sex,Life.stage,Occurrence.remarks,Identification.verification.status,Basis.of.record,Survey.key,Dataset.name,Dataset.ID,Data.provider,Data.provider.ID,Institution.code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR.100km,OSGR.10km,OSGR.2km,OSGR.1km,Country,State.Province,Vitality
1,f8956bc8-ea11-4645-b3c7-c15063f54b42,554021624,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,05/02/2006,5,2,2006,05/02/2006,5,2,2006,C_ER_14 - 15,SX382315,50.161877,-4.265961,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33V,SX3831,United Kingdom,England,
2,f77244a8-b041-460a-91e5-dea5eb76cf21,554044741,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,05/02/2006,5,2,2006,05/02/2006,5,2,2006,C_ER_13,SX376319,50.165307,-4.274526,70.7,,SeaStar Survey,,S,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33Q,SX3731,United Kingdom,England,
3,f5b0a284-9721-4e84-91c9-58432e8971e5,554044532,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,04/02/2006,4,2,2006,04/02/2006,4,2,2006,C_MESH_06,SX332376,50.215305,-4.338581,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33I,SX3337,United Kingdom,England,
4,f57cd12d-c863-49e2-bbcb-f04e8e161f1f,554044497,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,04/02/2006,4,2,2006,04/02/2006,4,2,2006,C_MESH_06,SX334377,50.21626,-4.335824,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33I,SX3337,United Kingdom,England,
5,f3df5520-a0e0-4ad3-ac7d-9ca05e34ee59,2291902,CC-BY,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,06/02/2005,6,2,2005,06/02/2005,6,2,2005,"West side, Eastern King Point",SX465534,50.360901,-4.158727,70.7,,Olwen Ager,,1,,,NA,NA,,,,Accepted,HumanObservation,MRMLN00400000002,DASSH Data Archive Centre volunteer sightings records,dr1204,Marine Biological Association,dp80,Marine Biological Association,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX45,SX45R,SX4653,United Kingdom,England,
6,ef62165e-a9c0-43d5-ae0a-0941435f4aec,554021590,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,05/02/2006,5,2,2006,05/02/2006,5,2,2006,C_ER_14 - 15,SX385316,50.162857,-4.261807,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33V,SX3831,United Kingdom,England,
7,eedb4bea-c036-4a99-91c5-aade0cf1f282,T-MRMCS0150000AC81,CC-BY,Seasearch,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,08/02/2015,8,2,2015,,NA,NA,NA,Reef on West side of Persier,SX599445,50.28452,-3.967421,70.7,-25.5 to -24.5 m,Sally Sharrock,,,R,SACFORN,NA,NA,,,,Accepted - considered correct,HumanObservation,MRMCS0150000006E,Seasearch Marine Surveys in England,dr690,Seasearch,dp119,Seasearch,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX54,SX54X,SX5944,United Kingdom,England,alive
8,edadae0e-8c45-4a05-a714-2d808a3fc3e4,554044705,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,05/02/2006,5,2,2006,05/02/2006,5,2,2006,C_ER_13,SX377319,50.165335,-4.273127,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33Q,SX3731,United Kingdom,England,
9,eb766f82-561f-4a77-be10-48e281ae8834,554032555,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,01/02/2006,1,2,2006,01/02/2006,1,2,2006,C_ER_02,SX384358,50.200573,-4.264991,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33X,SX3835,United Kingdom,England,
10,e7567073-2c8e-4226-98af-16d83dad905a,554031792,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,01/02/2006,1,2,2006,01/02/2006,1,2,2006,C_ER_02,SX384360,50.20237,-4.265076,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33Y,SX3836,United Kingdom,England,
11,e147c7e6-0ca2-4a2d-be90-692e5e315cee,T-MRMCS0150000B713,CC-BY,Seasearch,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,15/02/2015,15,2,2015,,NA,NA,NA,Noth East Rock Walls,SX387337,50.18208,-4.259367,70.7,-27 to -15 m,Chris Webb,,,O,SACFORN,NA,NA,,,,Accepted - considered correct,HumanObservation,MRMCS01500000075,Seasearch Marine Surveys in England,dr690,Seasearch,dp119,Seasearch,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33W,SX3833,United Kingdom,England,alive
12,e0de81b2-8f70-465c-b59c-12211e13d55b,T-MRMCS01500008C21,CC-BY,Seasearch,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,09/02/2013,9,2,2013,,NA,NA,NA,Eddystone West Side Pinnacle,SX382333,50.17774,-4.267204,70.7,-16.8 to -13.8 m,Sally Sharrock,,,O,SACFORN,NA,NA,,,,Accepted - considered correct,HumanObservation,MRMCS01500000055,Seasearch Marine Surveys in England,dr690,Seasearch,dp119,Seasearch,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33W,SX3833,United Kingdom,England,alive
13,de055b4a-e884-476e-b7c4-58cba2b40fe2,554021582,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,05/02/2006,5,2,2006,05/02/2006,5,2,2006,C_ER_14 - 15,SX385316,50.162857,-4.261807,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33V,SX3831,United Kingdom,England,
14,cef61553-92fb-4f4a-bc28-2b4bb16c116b,554032546,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,01/02/2006,1,2,2006,01/02/2006,1,2,2006,C_ER_02,SX384358,50.200573,-4.264991,70.7,,SeaStar Survey,,S,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33X,SX3835,United Kingdom,England,
15,ceabd94d-0e7c-4fdd-861c-f94e10590ada,554021575,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,05/02/2006,5,2,2006,05/02/2006,5,2,2006,C_ER_14 - 15,SX384316,50.16283,-4.263206,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33V,SX3831,United Kingdom,England,
16,cb6c1236-8968-4d2e-93b3-870d2acecfed,554044959,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,05/02/2006,5,2,2006,05/02/2006,5,2,2006,C_ER_13,SX375319,50.16528,-4.275925,70.7,,SeaStar Survey,,S,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33Q,SX3731,United Kingdom,England,
17,c9cbc91c-39ea-44eb-8740-62ac87505d4c,T-MRMCS01500008C37,CC-BY,Seasearch,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,09/02/2013,9,2,2013,,NA,NA,NA,Eddystone West Side Pinnacle,SX382333,50.17774,-4.267204,70.7,-25.8 to -16.8 m,Sally Sharrock,,,C,SACFORN,NA,NA,,,,Accepted - considered correct,HumanObservation,MRMCS01500000055,Seasearch Marine Surveys in England,dr690,Seasearch,dp119,Seasearch,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33W,SX3833,United Kingdom,England,alive
18,bf4ed274-1249-4e5e-90b2-5bd023cb36c0,554031783,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,01/02/2006,1,2,2006,01/02/2006,1,2,2006,C_ER_02,SX384359,50.201472,-4.265034,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33X,SX3835,United Kingdom,England,
19,bf358c50-b56a-4d3f-bf52-40e1aeeebaf2,554048806,OGL,,Eunicella verrucosa,"(Pallas, 1766)",NA,Pink Sea-fan,NBNSYS0000040771,species,present,04/02/2006,4,2,2006,04/02/2006,4,2,2006,C_MESH_04,SX331381,50.21977,-4.340202,70.7,,SeaStar Survey,,A,,,NA,NA,,,,Accepted,HumanObservation,MRNE030000000014,Natural England Marine Monitoring surveys,dr833,Natural England,dp83,Natural England,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,SX,SX33,SX33J,SX3338,United Kingdom,England,
