individual,date,status,age,weight,group.size,rainfall,pregnant,fam ,psr,Strongyle_abundance,Toxocara_abundance,Oxynema_abund,Pseudandrya_abundance,Spirurida_abundance,Coccidia_abundance
VAZF036,45123,S,22.8,720,16,6.4,Y,191.55,5,3,0,1,1,2,4
VSQF012,45279,D,40.4,867,12,6.4,Y,108.25,4,3,0,3,3,3,0
VLF111,45298,D,94.8,749,31,4.4,N,108.38,5,3,4,3,0,3,3
VKUF019,45560,S,51.0,620,19,4.2,Y,79.73,4,3,3,3,0,0,3
VKUF065,45555,S,12.8,458.5,19,4.2,N,50.15,3,0,0,4,3,3,0
VRRF151,45402,S,12.5,555,15,2.2,N,92.38,2,3,0,4,0,0,0
VDF115,45403b,D,77.3,589,9,2.2,N,109.6,5,3,4,2,0,2,4
VDF162,45439,S,11.8,536.5,16,2.2,N,31.2,3,4,0,1,0,3,0
VRRF116,45559,D,51.4,961,15,2.6,Y,125.58,4,3,3,3,0,0,4
VRRF146,45552,S,17.2,545,15,2.6,N,55.83,4,3,4,3,0,0,4
VAZF052,45631,S,10.8,492.5,16,2.6,N,106.43,2,0,0,3,1,0,0
VLF102,45707,D,98.4,717.5,16,2.6,N,279.43,6,4,4,3,1,1,3
VWF177,45736,S,11.1,442,12,2.6,N,41.83,4,3,0,3,3,0,1
VKUF019,45457,S,51.4,461.5,19,1.2,N,44.98,3,3,0,3,0,0,3
VDF163,45753,S,12.2,495.5,15,2.2,N,97.93,4,4,3,2,0,0,2
VSQF011,45826,S,41.2,760.5,12,2.2,N,170.03,3,3,0,2,0,0,3
VSQF012,45828,D,41.2,751,12,2.2,N,132.63,4,4,0,2,4,3,0
VDF162,45851,S,12.4,512,15,2.2,N,30.3,5,3,0,3,2,3,4
VWF176,45972,S,11.6,427,12,2.8,N,84.47,4,4,0,3,3,0,1
VKUF065,466591,S,15.5,485.5,15,0,N,17.68,1,0,4,0,0,0,0
VDF163,466861,S,14.9,579.5,14,0,N,4.6,1,3,0,0,0,0,0
VAZF052,466963,S,13.5,594,10,0,N,44.78,3,3,3,0,0,0,1
VLF194,466981,S,14.8,460,23,0,N,40.7,1,0,0,0,0,0,3
VBBF083,467291,S,15.8,514.5,29,0,N,60.93,1,0,0,0,0,0,4
VJXF053,467333,S,16.8,548.5,16,0,N,24.63,1,3,0,0,0,0,0
VJXF052,467476,S,17.1,570,16,0,N,24.4,1,0,3,0,0,0,0
VJXF035,47114,S,32.2,732,15,15.4,N,53.65,3,3,3,0,0,0,4
VDF146,47112,S,41.1,731.5,14,15.4,N,39.18,2,2,0,0,0,0,3
VKUF055,47105,S,27.4,665.5,21,15.4,N,98.28,3,0,4,1,0,0,3
VSQF005,47116,D,56.2,832.5,9,0,Y,73.6,6,3,3,1,1,1,1
VAZF029,47109,D,32.5,769,10,0,Y,68.9,3,1,4,0,0,0,3
VLF102,47111,D,104.4,825.5,21,0,Y,24.25,2,2,0,0,0,0,3
VDF115,47095,D,83.4,646.5,11,0,N,81.75,4,3,0,1,3,0,3
VVHF029,47097,S,42.4,603,17,0,N,18.35,3,2,4,1,0,0,0
VRRF151,47101,S,19.3,653.5,10,0,N,30.45,3,1,0,0,1,0,3
VLF180,47093,S,32.1,572.5,21,0,N,101.23,2,3,0,0,0,0,4
VBBF069,47441,D,34.4,939,11,6,Y,228.65,5,3,0,1,1,1,4
VLF194,47456,S,21.4,697,9,6.4,Y,24.125,2,2,0,0,0,0,4
VPAF009,47486,S,13.2,635.5,9,6.4,N,50.73,2,3,0,0,0,0,3
VKUF069,47487,D,35.0,755,5,6.4,Y,91.35,3,3,0,3,0,0,3
VRRF156,47557,S,13.0,743,13,34,Y,27.85,3,4,0,2,0,0,4
VRRF156,47587,S,13.2,790,13,41.6,Y,86.9,3,4,0,0,0,1,4
VTYF042,47593,S,24.0,533.5,3,41.6,N,4.43,1,3,0,0,0,0,0
VKUF069,47603,D,36.1,840,5,41.6,Y,148.38,4,3,0,3,3,0,4
VAZF052,47871,S,21.9,689,8,23.2,N,76.6,0,0,0,0,0,0,0
VJXF057,47736,S,16.0,668,9,38,N,120.7,2,3,0,0,0,0,2
VWF176,47775,S,23.1,953.5,12,38,Y,15.4,1,3,0,0,0,0,0
VBBF093,53443,S,14.2,308,17,40.8,Y,61.1,1,4,0,0,0,0,0
VVHF035,48076,D,41.4,835.5,18,45.8,Y,94.78,5,4,3,2,0,1,4
VVHF064,48082,S,12.7,494,18,36.2,N,37.68,3,0,0,1,4,0,1
VKUF065,47938,D,25.6,691,5,35.2,Y,59.7,2,3,0,2,0,0,0
VLF134,48087,D,74.2,1062,7,54,Y,19.55,2,0,0,1,0,0,1
VLF194,48090,S,24.5,591,7,54,N,52.2,1,0,0,3,0,0,0
VBBF069,48092,D,37.6,736,15,54,N,28.63,3,2,3,2,0,0,0
VWF176,48011,S,23.9,653.5,6,54,N,53.43,2,3,0,0,0,0,4
