bird.no,sample.type,head.length,midpiece.length,tail.length,total.length
1,faecal,9.93,27.51,17.05,54.49
1,faecal,9.92,27.05,17.57,54.54
1,faecal,10.71,26.65,18.52,55.88
1,faecal,10.72,26.07,19.31,56.1
1,faecal,9.81,29.22,17.27,56.3
1,faecal,9.77,29.52,17.27,56.56
1,faecal,10.05,26.09,21.58,57.72
1,faecal,10.03,26.88,21.36,58.27
1,faecal,10.49,28.12,24.31,62.92
1,faecal,10.48,28.04,25.94,64.46
1,pvl,9.81,26.54,22.78,59.13
1,pvl,10.27,26.93,23.75,60.95
1,pvl,10.25,26.42,24.33,61
1,pvl,9.95,27.62,23.97,61.54
1,pvl,10,26.88,24.69,61.57
1,pvl,10.07,27.03,24.5,61.6
1,pvl,10.15,27.55,23.91,61.61
1,pvl,10.27,27.29,24.17,61.73
1,pvl,9.88,26.48,25.43,61.79
1,pvl,10.14,27.38,25.04,62.56
1,pvl,10.04,28.01,24.53,62.58
1,pvl,10.23,27.59,24.91,62.73
1,pvl,10.4,27.41,25.01,62.82
1,pvl,10.38,27.65,25.03,63.06
1,pvl,9.9,27.98,25.86,63.74
1,pvl,10.12,28.93,25.84,64.89
2,faecal,10.98,33.89,17.1,61.97
2,faecal,11.04,25.9,25.27,62.21
2,faecal,11.43,26.96,23.98,62.37
2,faecal,11.11,26.01,25.3,62.42
2,faecal,11.46,27.21,23.91,62.58
2,faecal,11.77,27.53,24.87,64.17
2,faecal,11.8,27.59,25.08,64.47
2,faecal,11.89,26.2,28.77,66.86
2,faecal,11.99,26.27,28.84,67.1
2,faecal,10.82,34,26.51,71.33
2,pvl,11.02,25.88,22.14,59.04
2,pvl,11.13,25.39,23.55,60.07
2,pvl,11.33,25.83,23.88,61.04
2,pvl,11.35,25.81,23.99,61.15
2,pvl,11.55,26.2,23.86,61.61
2,pvl,10.88,25.06,25.69,61.63
2,pvl,10.82,25.37,25.49,61.68
2,pvl,10.94,25.99,25.16,62.09
2,pvl,11.23,26.5,24.39,62.12
2,pvl,10.43,26,25.7,62.13
2,pvl,10.8,26.09,25.41,62.3
2,pvl,10.91,26.93,24.72,62.56
2,pvl,11.8,25.21,25.6,62.61
2,pvl,11.7,27.18,23.9,62.78
2,pvl,10.92,26.04,25.89,62.85
2,pvl,11.68,26.18,25.17,63.03
2,pvl,11.1,26.44,25.49,63.03
2,pvl,11.77,27.27,24.01,63.05
2,pvl,11.8,25.23,26.02,63.05
2,pvl,11.67,26.52,25.22,63.41
2,pvl,11.87,27.41,24.31,63.59
2,pvl,11.69,26.92,25.12,63.73
2,pvl,11.76,27.38,24.93,64.07
2,pvl,11.14,27.01,25.98,64.13
2,pvl,11.6,26.97,25.62,64.19
2,pvl,11.43,27.4,25.55,64.38
2,pvl,11.59,27.38,25.87,64.84
2,pvl,11.95,27.01,25.98,64.94
2,pvl,11.15,27.12,27.08,65.35
2,pvl,11.81,26.51,27.63,65.95
2,pvl,11.58,27.14,28.02,66.74
2,pvl,11.47,27.05,28.24,66.76
2,pvl,11.65,27.03,28.35,67.03
3,faecal,11.48,29.99,20.7,62.17
3,faecal,11.3,30.98,21.27,63.55
3,faecal,11.04,34.04,19.41,64.49
3,faecal,11.04,33.91,19.88,64.83
3,faecal,10.83,32.64,22.56,66.03
3,faecal,10.9,33.05,22.35,66.3
3,faecal,11.14,30.18,26.17,67.49
3,faecal,11.08,29.8,26.71,67.59
3,faecal,11.56,36.78,19.5,67.84
3,faecal,11.69,36.93,19.45,68.07
3,pvl,11.06,30.15,25.93,67.14
3,pvl,11.08,30.09,25.97,67.14
3,pvl,11.05,30.43,25.88,67.36
3,pvl,11.09,30.55,25.81,67.45
3,pvl,11.11,30.1,26.24,67.45
3,pvl,11.11,30.02,26.46,67.59
3,pvl,11.12,29.93,26.58,67.63
3,pvl,11.38,29.91,26.73,68.02
3,pvl,11.51,31.04,25.73,68.28
3,pvl,10.99,30.84,26.5,68.33
3,pvl,11.21,32.19,26.63,70.03
4,faecal,10.96,29.73,22.09,62.78
4,faecal,10.53,29.43,23.14,63.1
4,faecal,11,30.32,21.95,63.27
4,faecal,10.8,31.23,22.36,64.39
4,faecal,10.82,31.08,22.54,64.44
4,faecal,11.13,34.76,19.17,65.06
4,faecal,11.26,35.43,18.62,65.31
4,faecal,10.67,29.83,26.6,67.1
4,faecal,10.99,28.65,27.87,67.51
4,faecal,11.07,29.15,27.98,68.2
4,pvl,10.61,29.55,24.18,64.34
4,pvl,10.55,31.02,25.68,64.34
4,pvl,10.49,29.81,24.98,64.34
4,pvl,10.62,30.58,25.61,66.33
4,pvl,10.58,29.08,26.67,66.33
4,pvl,10.62,29.08,26.67,66.33
4,pvl,10.69,29.89,25.85,66.43
4,pvl,10.88,30.13,25.87,66.88
4,pvl,11.1,28.9,27.44,67.44
4,pvl,11.12,29.41,26.98,67.51
4,pvl,11.06,30.05,27.04,67.62
4,pvl,10.99,30.03,27.5,67.62
4,pvl,11.04,29.12,27.46,67.62
4,pvl,10.89,30.29,26.58,67.76
4,pvl,10.71,28.76,24.33,67.81
4,pvl,10.89,28.73,25.41,67.81
4,pvl,10.95,28.88,27.98,67.81
4,pvl,11.43,29.6,27.85,68.88
5,faecal,9.44,13.87,43.96,67.27
5,faecal,9.34,14.19,43.98,67.51
5,faecal,9.47,20.83,37.35,67.65
5,faecal,9.59,18.84,40.31,68.74
5,faecal,9.7,21.33,37.81,68.84
5,faecal,10.11,19.04,40.15,69.3
5,faecal,10.77,21.5,38.57,70.84
5,faecal,10.99,20.21,40.03,71.23
5,faecal,11.1,20.23,39.92,71.25
5,faecal,10.5,22.22,38.63,71.35
5,pvl,10.11,20.42,37.59,68.12
5,pvl,9.75,20.94,37.78,68.47
5,pvl,9.84,21.84,36.95,68.63
5,pvl,9.81,21.56,37.88,69.25
5,pvl,9.88,21.56,37.88,69.32
5,pvl,10.47,21.21,38.23,69.91
5,pvl,10.35,21.12,39.58,71.05
5,pvl,10.26,21.97,39.01,71.24
5,pvl,10.45,22.03,39.12,71.6
5,pvl,10.48,22.22,38.91,71.61
6,faecal,10.01,16.02,44.01,70.04
6,faecal,9.99,15.94,44.44,70.37
6,faecal,10.58,11.45,48.72,70.75
6,faecal,9.57,21.75,40.15,71.47
6,faecal,10.4,11.31,49.8,71.51
6,faecal,9.74,21.87,40.19,71.8
6,faecal,10.43,15.92,45.45,71.8
6,faecal,10.39,16.19,46.05,72.63
6,faecal,10.8,13.88,49.06,73.74
6,faecal,10.72,13.79,49.26,73.77
6,pvl,10.24,16.45,41.78,68.47
6,pvl,10.02,18.35,40.12,68.49
6,pvl,10.35,17,42.08,69.43
6,pvl,10.11,18.44,41.78,70.33
6,pvl,9.87,20.75,40.12,70.74
6,pvl,9.88,20.75,40.12,70.75
6,pvl,9.89,20.75,40.12,70.76
6,pvl,9.87,20.78,40.15,70.8
6,pvl,9.91,21.84,40.2,71.95
6,pvl,9.7,21.84,40.55,72.09
6,pvl,9.9,21.72,41.91,73.53
6,pvl,10.12,21.91,41.94,73.97
7,faecal,11.28,27.92,18.98,58.18
7,faecal,10.71,27.86,19.78,58.35
7,faecal,11.03,28.14,19.32,58.49
7,faecal,10.67,28.43,19.71,58.81
7,faecal,10.5,29.87,18.45,58.82
7,faecal,10.5,30.26,18.36,59.12
7,faecal,10.52,30.04,18.59,59.15
7,faecal,10.55,29.9,19.11,59.56
7,faecal,10.6,31.66,18.98,61.24
7,faecal,10.57,31.7,19.4,61.67
7,pvl,10.35,27.93,18.48,56.76
7,pvl,10.68,27.62,18.51,56.81
7,pvl,10.61,27.8,18.41,56.82
7,pvl,10.66,27.91,18.35,56.92
7,pvl,10.55,27.77,18.94,57.26
7,pvl,10.89,27.5,18.89,57.28
7,pvl,10.72,27.95,18.71,57.38
7,pvl,10.59,27.87,19.14,57.6
7,pvl,10.47,27.65,19.5,57.62
7,pvl,10.55,28.14,19.13,57.82
7,pvl,10.78,28.04,19.05,57.87
7,pvl,10.63,27.98,19.39,58
7,pvl,10.8,27.99,19.22,58.01
7,pvl,10.51,27.89,19.66,58.06
7,pvl,10.77,28.19,19.43,58.39
7,pvl,10.79,27.86,19.74,58.39
7,pvl,10.68,28.32,19.74,58.74
7,pvl,10.98,28.02,19.81,58.81
7,pvl,10.53,28.82,19.6,58.95
7,pvl,10.75,28.82,19.6,59.17
8,faecal,10.2,36.79,18.56,65.55
8,faecal,11.05,24.11,30.83,65.99
8,faecal,10.23,37.48,18.33,66.04
8,faecal,10.88,24.09,31.24,66.21
8,faecal,11.12,26.88,32.1,70.1
8,faecal,11.16,27.48,31.96,70.6
8,faecal,10.91,30.86,32.53,74.3
8,faecal,11.01,31.25,32.43,74.69
8,faecal,10.89,32.56,32.4,75.85
8,faecal,10.94,33.37,31.67,75.98
8,pvl,10.87,27.86,30.97,69.7
8,pvl,10.95,27.95,31.08,69.98
8,pvl,10.96,27.68,33.78,70.31
8,pvl,10.99,29.63,30.44,71.06
8,pvl,10.96,29.87,33.05,71.08
8,pvl,10.95,29.99,30.37,71.31
8,pvl,11.03,29.45,31.15,71.63
8,pvl,10.74,30.07,31.17,71.98
8,pvl,11.01,29.88,31.15,72.04
8,pvl,11.02,29.44,31.66,72.12
8,pvl,11,29.86,32.99,72.4
8,pvl,10.81,30.5,31.59,72.9
8,pvl,10.77,30.16,31.98,72.91
8,pvl,10.8,30.63,32.04,73.47
8,pvl,10.77,30.58,32.44,73.79
8,pvl,10.8,30.75,32.39,73.94
8,pvl,10.81,30.75,32.39,73.95
8,pvl,10.86,30.69,32.46,74.01
8,pvl,10.85,30.66,33.79,74.04
8,pvl,10.81,30.89,32.63,74.33
8,pvl,10.58,31.53,32.47,74.58
8,pvl,10.97,31.33,32.4,74.7
8,pvl,10.94,31.88,32.26,75.08
8,pvl,10.95,30.77,33.41,75.13
8,pvl,10.93,31.48,32.73,75.14
8,pvl,10.74,31.05,33.45,75.17
8,pvl,10.72,32.63,32.01,75.36
8,pvl,10.9,31.48,32.55,75.42
8,pvl,10.7,33.5,31.32,75.52
8,pvl,10.93,30.81,33.9,75.64
8,pvl,10.94,31.32,33.47,75.67
8,pvl,10.96,31.88,32.87,75.71
8,pvl,10.87,31.79,33.12,75.78
8,pvl,10.83,32.62,32.4,75.85
8,pvl,10.79,32.56,32.51,75.86
8,pvl,10.9,32.7,32.36,75.96
8,pvl,10.71,32.59,32.78,76.08
8,pvl,10.95,33.37,32.02,76.34
8,pvl,10.79,32.89,32.99,76.67
8,pvl,10.99,30.16,33.69,77.17
8,pvl,10.98,32.58,33.62,77.18
8,pvl,10.95,33.31,33.01,77.27
8,pvl,11.04,27.88,33.76,77.31
9,faecal,11.28,37.01,22.63,70.92
9,faecal,11.19,37.08,22.78,71.05
9,faecal,11.09,37.33,22.92,71.34
9,faecal,10.98,40.53,20.22,71.73
9,faecal,10.64,39.45,21.7,71.79
9,faecal,11.33,37.42,23.07,71.82
9,faecal,11.09,40.6,20.4,72.09
9,faecal,10.77,39.76,22.14,72.67
9,faecal,11.21,40.18,21.85,73.24
9,faecal,11.29,39.81,22.31,73.41
9,pvl,10.97,37.05,22.48,70.5
9,pvl,11.08,37.16,22.45,70.69
9,pvl,11.02,37.22,22.5,70.74
9,pvl,11.28,37.01,22.63,70.92
9,pvl,11.19,37.08,22.78,71.05
9,pvl,11.2,37.18,22.84,71.22
9,pvl,11.09,37.33,22.92,71.34
9,pvl,11.13,37.38,22.99,71.5
9,pvl,11.33,37.42,23.07,71.82
9,pvl,11.01,38.03,22.85,71.89
9,pvl,11.19,38.07,22.79,72.05
10,faecal,9.78,30.63,24.9,65.31
10,faecal,9.89,30.31,25.44,65.64
10,faecal,9.01,31.21,25.81,66.03
10,faecal,8.96,31.26,26.26,66.48
10,faecal,9.61,30.55,26.46,66.62
10,faecal,9.55,16.12,41.79,67.46
10,faecal,9.66,30.96,26.94,67.56
10,faecal,9.59,15.99,43.26,68.84
10,faecal,9.4,30.75,28.81,68.96
10,faecal,9.38,31.25,28.75,69.38
10,pvl,9.19,30.5,28.44,65.53
10,pvl,9.34,30.06,27.84,66.24
10,pvl,9.05,31.15,28.41,66.85
10,pvl,9.24,30.78,27.9,66.93
10,pvl,9.41,30.57,27.68,66.97
10,pvl,9.14,31,28.06,67.13
10,pvl,8.99,30.77,28.63,67.39
10,pvl,9.09,30.96,28.53,67.58
10,pvl,9.18,30.67,28.19,68.04
10,pvl,9.23,30.91,28.94,68.08
10,pvl,9.04,30.55,28.49,68.08
10,pvl,8.98,31.28,28.11,68.37
10,pvl,9.13,31.12,28.14,68.39
10,pvl,9.1,30.8,28.79,68.69
10,pvl,9.13,31.39,28.28,68.8
10,pvl,9.31,30.02,28.47,68.8
10,pvl,9.27,30.8,27.77,68.84
10,pvl,9.03,30.06,28.88,68.97
11,faecal,11.36,31.96,11.71,55.03
11,faecal,11.41,32.39,11.68,55.48
11,faecal,11.09,32.64,12.17,55.9
11,faecal,10.99,32.68,12.5,56.17
11,faecal,10.82,31.9,14.76,57.48
