bird.no,sample.type,head.length,midpiece.length,tail.length,total.length
1,faecal,10.03,34.19,8.12,52.34
1,faecal,10.01,24.04,13.98,48.03
1,faecal,9.93,24.01,9.36,43.3
1,faecal,9.3,24.13,12.97,46.4
1,faecal,11.6,31.53,11.82,54.95
1,sg,10.33,31.05,8.77,50.15
1,sg,10.1,24.18,13.79,48.07
1,sg,9.39,24.02,9.05,42.46
1,sg,9.18,24.62,12.99,46.79
1,sg,10.99,31.55,11.8,54.34
2,faecal,9.75,27.77,12.98,50.5
2,faecal,10.49,33.07,12.35,55.91
2,faecal,10.12,32.11,10.44,52.67
2,faecal,9.01,32.71,12.01,53.73
2,faecal,10.33,31.99,10.59,52.91
2,sg,9.84,29.07,12.98,51.89
2,sg,10.87,33.27,12.44,56.58
2,sg,10.91,32.3,10.14,53.35
2,sg,9.1,32.3,12.14,53.54
2,sg,10.82,31.01,10.19,52.02
3,faecal,8.76,27.91,13.06,49.73
3,faecal,12.27,25.05,15.39,52.71
3,faecal,11.71,20.7,35.06,67.47
3,faecal,12.35,18.95,22.35,53.65
3,faecal,9.36,21.97,33.69,65.02
3,sg,8.9,27.11,13.5,49.51
3,sg,12.79,25.15,15.19,53.13
3,sg,11.1,20.4,35.16,66.66
3,sg,12.36,18.18,22.85,53.39
3,sg,9.8,21.78,33.39,64.97
4,faecal,12.21,25.45,24.54,62.2
4,faecal,10.56,26.27,27.2,64.03
4,faecal,10.05,27.24,25.32,62.61
4,faecal,9.74,23.19,28.29,61.22
4,faecal,10.68,28.09,19.28,58.05
4,sg,12.81,25.74,24.54,63.09
4,sg,10.16,26.97,27.99,65.12
4,sg,10.74,27.44,25.42,63.6
4,sg,9.63,23.84,28.78,62.25
4,sg,10.87,28.49,19.18,58.54
5,faecal,9.56,33.29,14.76,57.61
5,faecal,9.42,33.29,13.22,55.93
5,faecal,9.63,35.58,13.71,58.92
5,faecal,10.44,36.66,14.2,61.3
5,faecal,9.79,34.03,16.18,60
5,sg,9.48,33.9,14.52,57.9
5,sg,9.92,33.3,13.42,56.64
5,sg,9.82,35.72,13.21,58.75
5,sg,10.45,36.56,14.88,61.89
5,sg,9.4,34.44,16.28,60.12
6,faecal,10.31,24.04,27.88,62.23
6,faecal,10.51,26.36,30.58,67.45
6,faecal,10.5,23.89,27.71,62.1
6,faecal,9.38,23.78,27.58,60.74
6,faecal,10.32,26.12,30.3,66.74
6,sg,10.24,24.52,28.32,63.08
6,sg,10.96,26.52,30.32,67.8
6,sg,10.98,23.69,27.04,61.71
6,sg,9.44,23.8,27.8,61.04
6,sg,10.24,26.32,30.12,66.68
7,faecal,9.92,32.92,24.88,67.72
7,faecal,9.52,34.44,26.1,70.06
7,faecal,9.76,30.24,28.72,68.72
7,faecal,9.44,38.86,19.04,67.34
7,faecal,9.48,31.16,20.48,61.12
7,sg,9.42,32.61,24.86,66.89
7,sg,9.54,34.9,26.01,70.45
7,sg,9.7,30.61,28.07,68.38
7,sg,9.96,38.68,19.07,67.71
7,sg,9.31,31.33,20.91,61.55
8,faecal,9.28,32.44,14.04,55.76
8,faecal,11.12,31.76,17.72,60.6
8,faecal,10.92,32.04,21.08,64.04
8,faecal,10.24,33.64,19.64,63.52
8,faecal,9.44,35.88,21.76,67.08
8,sg,9.66,32,14.76,56.42
8,sg,11.1,31.44,17.6,60.14
8,sg,10.29,32.41,21.61,64.31
8,sg,10.31,33.68,19.18,63.17
8,sg,9.96,35.01,21.01,65.98
9,faecal,10.45,29.89,16.21,56.55
9,faecal,10.01,34.49,21.04,65.54
9,faecal,10.49,31.15,19.36,61
9,faecal,10.38,29.13,24.73,64.24
9,faecal,10.45,24.54,20.6,55.59
9,sg,10.16,29.32,16.52,56
9,sg,10.08,34.94,21.24,66.26
9,sg,10.64,31.76,19.04,61.44
9,sg,10.28,29.76,24.12,64.16
9,sg,10.16,24.24,20.16,54.56
10,faecal,9.44,36.18,19.24,64.86
10,faecal,9.38,35.81,18.78,63.97
10,faecal,10.01,35.96,18.94,64.91
10,faecal,10.31,29.15,24.95,64.41
10,faecal,9.01,28.87,26.84,64.72
10,sg,9.24,36.04,19.44,64.72
10,sg,9.44,35.92,18.04,63.4
10,sg,10.8,35.55,18.28,64.63
10,sg,10.24,29.08,24.16,63.48
10,sg,9.32,28.43,26.25,64
11,faecal,10.84,32.12,22.64,65.6
11,faecal,9.16,33.84,16.64,59.64
11,faecal,10.16,33.32,19.96,63.44
11,faecal,10.42,35.76,16.76,62.94
11,faecal,9.32,37.16,16.52,63
11,sg,10.14,32.71,22.38,65.23
11,sg,9.87,33.91,16.29,60.07
11,sg,10.45,33.37,19.21,63.03
11,sg,10.32,35.22,16.08,61.62
11,sg,9.88,37.13,16.21,63.22
12,faecal,11.05,33.19,18.52,62.76
12,faecal,10.53,32.03,19.68,62.24
12,faecal,10.35,31.99,23.49,65.83
12,faecal,9.96,32.02,21.52,63.5
12,faecal,11.88,28.22,20.53,60.63
12,sg,11.61,33.9,18.55,64.06
12,sg,10.29,32.13,19.19,61.61
12,sg,10.82,31.84,23.86,66.52
12,sg,9.98,31.99,21.24,63.21
12,sg,11.35,28.27,20.25,59.87
13,faecal,9.49,33.35,25.51,68.35
13,faecal,10.6,39.89,19.99,70.48
13,faecal,10.33,36.43,25.41,72.17
13,faecal,10.58,32.15,24.32,67.05
13,faecal,10.28,30.87,26.66,67.81
13,sg,9.84,33.13,25.12,68.09
13,sg,10.5,40.04,19.09,69.63
13,sg,10.2,36.14,25.04,71.38
13,sg,10.55,32.21,24.46,67.22
13,sg,10.22,30.95,26.3,67.47
