"SiteID","Replicate","Latitude","Longitude","Order","Family","Species","Reads"
"Site1_R1",1,NA,NA,"Gadiformes","Gadidae","Pollachius virens",29899
"Site1_R1",1,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",5285
"Site1_R1",1,NA,NA,"Gadiformes","Gadidae","Gadus morhua",6284
"Site1_R1",1,NA,NA,"Perciformes","Sparidae","Sparus aurata",14960
"Site1_R1",1,NA,NA,"Perciformes","Sparidae","Boops boops",31874
"Site1_R1",1,NA,NA,"Perciformes","Sparidae","Diplodus sargus",5377
"Site1_R1",1,NA,NA,"Beloniformes","Belonidae","Belone belone",17759
"Site1_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",17098
"Site1_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",28676
"Site2_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",12061
"Site2_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",14323
"Site2_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",6319
"Site2_R1",1,NA,NA,"Perciformes","Sparidae","Boops boops",10701
"Site2_R1",1,NA,NA,"Perciformes","Sparidae","Diplodus sargus",32716
"Site2_R1",1,NA,NA,"Perciformes","Sparidae","Sparus aurata",29657
"Site2_R1",1,NA,NA,"Beloniformes","Belonidae","Belone belone",27046
"Site3_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",26335
"Site3_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",21770
"Site3_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",102
"Site3_R1",1,NA,NA,"Perciformes","Serranidae","Serranus atricauda",3909
"Site3_R1",1,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",11086
"Site3_R1",1,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",15985
"Site3_R1",1,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",17718
"Site4_R1",1,NA,NA,"Gadiformes","Gadidae","Gadus morhua",17809
"Site4_R1",1,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",1847
"Site4_R1",1,NA,NA,"Gadiformes","Gadidae","Pollachius virens",12491
"Site4_R1",1,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",1071
"Site4_R1",1,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",4188
"Site4_R1",1,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",18128
"Site4_R1",1,NA,NA,"Beloniformes","Belonidae","Belone belone",952
"Site4_R1",1,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",24006
"Site4_R1",1,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",7959
"Site5_R1",1,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",24530
"Site5_R1",1,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",34859
"Site5_R1",1,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",25855
"Site5_R1",1,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",1773
"Site6_R1",1,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",32296
"Site6_R1",1,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",25
"Site6_R1",1,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",4527
"Site6_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",17900
"Site6_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",23301
"Site6_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",10613
"Site6_R1",1,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",21787
"Site6_R1",1,NA,NA,"Perciformes","Serranidae","Serranus atricauda",10463
"Site7_R1",1,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",34497
"Site7_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",27522
"Site7_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",18604
"Site7_R1",1,NA,NA,"Beloniformes","Belonidae","Belone belone",34972
"Site7_R1",1,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",31676
"Site7_R1",1,NA,NA,"Perciformes","Serranidae","Serranus atricauda",20430
"Site7_R1",1,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",9184
"Site7_R1",1,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",9984
"Site7_R1",1,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",16097
"Site7_R1",1,NA,NA,"Gadiformes","Gadidae","Gadus morhua",32589
"Site7_R1",1,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",34921
"Site7_R1",1,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",15775
"Site8_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",15375
"Site8_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",13655
"Site8_R1",1,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",32895
"Site8_R1",1,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",9549
"Site8_R1",1,NA,NA,"Gadiformes","Gadidae","Gadus morhua",24191
"Site8_R1",1,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",31071
"Site8_R1",1,NA,NA,"Gadiformes","Gadidae","Pollachius virens",34886
"Site8_R1",1,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",24718
"Site8_R1",1,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",33850
"Site1_R2",2,NA,NA,"Beloniformes","Belonidae","Belone belone",19852
"Site1_R2",2,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",28684
"Site1_R2",2,NA,NA,"Perciformes","Sparidae","Boops boops",12823
"Site1_R2",2,NA,NA,"Perciformes","Sparidae","Diplodus sargus",25421
"Site2_R2",2,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",387
"Site2_R2",2,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",6150
"Site2_R2",2,NA,NA,"Perciformes","Sparidae","Sparus aurata",14882
"Site2_R2",2,NA,NA,"Perciformes","Sparidae","Boops boops",28355
"Site2_R2",2,NA,NA,"Perciformes","Sparidae","Diplodus sargus",5441
