Sample ID,Study,Treatment,EventID/duration,Sample ID,Qubit read concentration (ng/µL),Concentration (ng/µL)
1.1,Scilles24,HYDRO,16052024-R-B,S1.1,NA,NA
1.2,Scilles24,HYDRO,16052024-R-B,S1.2,NA,NA
1.3,Scilles24,HYDRO,16052024-R-B,S1.3,0.53,21.20
13.1,Scilles24,HYDRO,05062024-R-B,S13.1,15.80,632.00
13.2,Scilles24,HYDRO,05062024-R-B,S13.2,58.20,2328.00
13.3,Scilles24,HYDRO,05062024-R-B,S13.3,1.91,76.40
14.1,Scilles24,HYDRO,05062024-R-A,S14.1,NA,NA
14.2,Scilles24,HYDRO,05062024-R-A,S14.2,NA,NA
14.3,Scilles24,HYDRO,05062024-R-A,S14.3,0.51,20.40
15.1,Scilles24,HYDRO,04062024-R-A,S15.1,7.26,290.40
15.2,Scilles24,HYDRO,04062024-R-A,S15.2,6.88,275.20
15.3,Scilles24,HYDRO,04062024-R-A,S15.3,24.30,972.00
16.1,Scilles24,HYDRO,06062024-R-A,S16.1,1.03,41.20
16.2,Scilles24,HYDRO,06062024-R-A,S16.2,NA,NA
16.3,Scilles24,HYDRO,06062024-R-A,S16.3,0.69,27.60
4.1,Scilles24,HYDRO,17052024-R-A,S4.1,0.51,20.40
4.2,Scilles24,HYDRO,17052024-R-A,S4.2,NA,NA
4.3,Scilles24,HYDRO,17052024-R-A,S4.3,NA,NA
5.1,Scilles24,HYDRO,16052024-R-A,S5.1,7.51,300.40
5.2,Scilles24,HYDRO,16052024-R-A,S5.2,90.20,3608.00
5.3,Scilles24,HYDRO,16052024-R-A,S5.3,2.07,82.80
10.1,Scilles24,BRUV,31052024-R-A,S10.1,NA,NA
10.2,Scilles24,BRUV,31052024-R-A,S10.2,3.30,132.00
10.3,Scilles24,BRUV,31052024-R-A,S10.3,0.55,22.00
11.1,Scilles24,BRUV,24052024-R-A,S11.1,0.74,29.60
11.2,Scilles24,BRUV,24052024-R-A,S11.2,NA,NA
11.3,Scilles24,BRUV,24052024-R-A,S11.3,1.76,70.40
12.1,Scilles24,BRUV,24052024-R-B,S12.1,NA,NA
12.2,Scilles24,BRUV,24052024-R-B,S12.2,0.55,22.00
12.3,Scilles24,BRUV,24052024-R-B,S12.3,NA,NA
2.1,Scilles24,BRUV,17052024-R-C,S2.1,NA,NA
2.2,Scilles24,BRUV,17052024-R-C,S2.2,NA,NA
2.3,Scilles24,BRUV,17052024-R-C,S2.3,NA,NA
3.1,Scilles24,BRUV,17052024-R-B,S3.1,NA,NA
3.2,Scilles24,BRUV,17052024-R-B,S3.2,NA,NA
3.3,Scilles24,BRUV,17052024-R-B,S3.3,0.58,23.20
6.1,Scilles24,BRUV,31052024-R-B,S6.1,0.87,34.80
6.2,Scilles24,BRUV,31052024-R-B,S6.2,1.30,52.00
6.3,Scilles24,BRUV,31052024-R-B,S6.3,0.77,30.80
7.1,Scilles24,BRUV,03062024-R-A,S7.1,2.25,90.00
7.2,Scilles24,BRUV,03062024-R-A,S7.2,0.59,23.60
7.3,Scilles24,BRUV,03062024-R-A,S7.3,1.51,60.40
8.1,Scilles24,BRUV,03062024-R-B,S8.1,7.70,308.00
8.2,Scilles24,BRUV,03062024-R-B,S8.2,NA,NA
8.3,Scilles24,BRUV,03062024-R-B,S8.3,0.92,36.80
9.1,Scilles24,BRUV,22052024-R-A,S9.1,NA,NA
9.2,Scilles24,BRUV,22052024-R-A,S9.2,3.99,159.60
9.3,Scilles24,BRUV,22052024-R-A,S9.3,1.05,42.00
B1,Scilles24,NA,Extraction blank,EB1,NA,NA
B2,Scilles24,NA,Extraction blank,EB2,NA,NA
B3,Scilles24,NA,Extraction blank,EB3,NA,NA
B4,Scilles24,NA,Extraction blank,EB4,NA,NA
